spanish,english,domain,collocations
la licencia,permit,repairs,solicitar la licencia; obtener la licencia; denegar la licencia
el tratamiento,treatment,health,iniciar el tratamiento; abandonar el tratamiento; completar el tratamiento
el chequeo,check-up,health,realizarse un chequeo; programar un chequeo; superar un chequeo
la urgencia,emergency,health,acudir a urgencias; atender una urgencia; gestionar una urgencia
el seguro médico,health insurance,health,contratar el seguro médico; cancelar el seguro médico; usar el seguro médico
la alimentación,nutrition,health,cuidar la alimentación; mejorar la alimentación; controlar la alimentación
la asociación,association,community,fundar una asociación; unirse a una asociación; disolver una asociación
la normativa municipal,local regulation,community,cumplir la normativa municipal; violar la normativa municipal; modificar la normativa municipal
el residuo,waste,environment,reciclar el residuo; gestionar el residuo; reducir el residuo
la huella de carbono,carbon footprint,environment,reducir la huella de carbono; compensar la huella de carbono; calcular la huella de carbono
la sostenibilidad,sustainability,environment,garantizar la sostenibilidad; promover la sostenibilidad; alcanzar la sostenibilidad
la energía renovable,renewable energy,environment,instalar energía renovable; producir energía renovable; subvencionar energía renovable
la contaminación,pollution,environment,reducir la contaminación; combatir la contaminación; evitar la contaminación
la conciliación,work-life balance,family,facilitar la conciliación; solicitar la conciliación; mejorar la conciliación
el conflicto,conflict,family,resolver el conflicto; evitar el conflicto; mediar en el conflicto
la emergencia,emergency,safety,declarar la emergencia; gestionar la emergencia; atender la emergencia
la protección,protection,safety,brindar protección; buscar protección; reforzar la protección
la formación,training,education,recibir formación; impartir formación; actualizar la formación
la matrícula,enrollment,education,formalizar la matrícula; pagar la matrícula; cancelar la matrícula
la afluencia,influx/crowd,transport,gran afluencia; regular la afluencia; evitar la afluencia; afluencia de turistas
el mostrador,check-in desk,travel,acercarse al mostrador; fila del mostrador; atender en el mostrador; mostrador de facturación
la consigna,luggage locker,travel,dejar en la consigna; recoger de la consigna; consigna automática; consigna cerrada
la expedición,issuance/expedition,admin,solicitar la expedición; retraso en la expedición; expedición de documentos; expedición inmediata
el transito,transit,transport,zona de tránsito; área de tránsito; prohibido el tránsito; libre tránsito
el control de pasaportes,passport control,travel,pasar el control de pasaportes; larga fila en el control de pasaportes; agilizar el control de pasaportes
la zona de embarque,boarding area,travel,esperar en la zona de embarque; acceso a la zona de embarque; abandonar la zona de embarque
la maleta de mano,carry-on luggage,travel,pesar la maleta de mano; exceder la maleta de mano; caber en la maleta de mano
la tarifa plana,flat rate,transport,contratar tarifa plana; incluir tarifa plana; aplicar tarifa plana; tarifa plana mensual
el billete integrado,integrated ticket,transport,validar el billete integrado; comprar el billete integrado; uso del billete integrado
la ubicación,location,transport,compartir la ubicación; determinar la ubicación; ubicación estratégica; ubicación exacta
el desvío,detour,transport,tomar un desvío; señalizar un desvío; obligatorio desvío; desvío provisional
el carril bici,bike lane,transport,invadir el carril bici; cruzar el carril bici; carril bici segregado; carril bici urbano
el transporte intermodal,intermodal transport,transport,fomentar el transporte intermodal; red de transporte intermodal; sistema de transporte intermodal
la congestión,traffic jam,transport,evitar la congestión; aliviar la congestión; alta congestión; congestión circulatoria
la accesibilidad,accessibility,transport,mejorar la accesibilidad; garantizar la accesibilidad; plena accesibilidad; problemas de accesibilidad
la guía turística,tourist guide,travel,seguir la guía turística; consultar la guía turística; guía turística impresa; guía turística interactiva
la tasa turística,tourist tax,travel,pagar la tasa turística; incluir la tasa turística; exención de tasa turística
el suplemento,surcharge,travel,cobrar un suplemento; aplicar un suplemento; suplemento por mascota; suplemento de temporada
la ocupación,occupancy,travel,plena ocupación; nivel de ocupación; alta ocupación; previsión de ocupación
el check-out,check-out,travel,realizar el check-out; retrasar el check-out; check-out exprés
la cancelación,cancellation,transport,notificar la cancelación; evitar la cancelación; cancelación de vuelo; cancelación por mal tiempo
el cinturón de seguridad,seat belt,transport,abrochar el cinturón de seguridad; desabrochar el cinturón de seguridad; uso obligatorio del cinturón de seguridad
la señal de tráfico,traffic sign,transport,respetar la señal de tráfico; ignorar la señal de tráfico; señal de tráfico vertical
la rotonda,roundabout,transport,entrar en la rotonda; tomar la salida de la rotonda; ceder el paso en la rotonda
el semáforo,traffic light,transport,respetar el semáforo; saltarse el semáforo; semáforo en rojo; semáforo inteligente
el paso de peatones,crosswalk,transport,cruzar por el paso de peatones; atropellar en el paso de peatones; paso de peatones elevado
la acera,sidewalk,transport,caminar por la acera; invadir la acera; acera estrecha; acera peatonal
la calzada,roadway,transport,cruzar la calzada; invadir la calzada; calzada mojada; calzada principal
el aparcamiento,parking,transport,buscar aparcamiento; encontrar aparcamiento; aparcamiento subterráneo; aparcamiento público
el parquímetro,parking meter,transport,pagar el parquímetro; ticket del parquímetro; parquímetro averiado
la autovía,highway,transport,incorporarse a la autovía; salir de la autovía; autovía congestionada; autovía de peaje
el peaje,toll,transport,pagar el peaje; evitar el peaje; cabina de peaje; peaje electrónico
el taller,repair shop,transport,llevar al taller; recoger del taller; taller mecánico; taller oficial
la grúa,tow truck,transport,llamar a la grúa; llevarse el coche la grúa; servicio de grúa
el peatón,pedestrian,transport,prioridad del peatón; seguridad del peatón; atropello de peatón
el ciclista,cyclist,transport,respetar al ciclista; seguridad del ciclista; grupo de ciclistas
el transporte de mercancías,freight transport,transport,gestionar el transporte de mercancías; contratar el transporte de mercancías; organizar el transporte de mercancías; supervisar el transporte de mercancías
la periferia,outskirts,transport,vivir en la periferia; transporte a la periferia; zona de la periferia
el núcleo urbano,city center,transport,acceder al núcleo urbano; descongestionar el núcleo urbano; núcleo urbano histórico
el mobiliario urbano,street furniture,transport,dañar el mobiliario urbano; instalar mobiliario urbano; mantenimiento del mobiliario urbano
el visado,visa,travel,solicitar el visado; tramitar el visado; denegar el visado; obtener el visado
la sobreventa,overbooking,travel,sufrir sobreventa; evitar la sobreventa; gestionar la sobreventa; reclamar por sobreventa
la confluencia,confluence/junction,transport,la confluencia de calles; llegar a la confluencia; una confluencia peligrosa; la confluencia de rutas
la despensa,pantry,food,llenar la despensa; organizar la despensa; vaciar la despensa
la guarnición,side dish,food,acompañar con una guarnición; servir una guarnición; elegir la guarnición
el condimento,seasoning/condiment,food,añadir el condimento; rectificar el condimento; un condimento natural
el sofrito,sautéed base,food,preparar el sofrito; dorar el sofrito; la base del sofrito
el comensal,diner/guest,food,atender a los comensales; el número de comensales; un comensal habitual
la ración,portion,food,servir una ración; pedir una ración; una ración generosa
el maridaje,pairing (wine/food),food,sugerir un maridaje; el maridaje perfecto; disfrutar del maridaje
el tentempié,snack/bite,food,tomar un tentempié; un tentempié ligero; preparar un tentempié
la elaboración,preparation/crafting,food,la elaboración casera; supervisar la elaboración; el proceso de elaboración
el aderezo,dressing/seasoning,food,mezclar el aderezo; aliñar con aderezo; el aderezo de la ensalada
la cocción,cooking/doneness,food,controlar la cocción; el tiempo de cocción; una cocción lenta
el utensilio,utensilio,food,guardar los utensilios; limpiar los utensilios; los utensilios de cocina
la legumbre,legume,food,cocinar legumbres; el consumo de legumbres; una dieta rica en legumbres
el lácteo,dairy product,food,evitar los lácteos; el consumo de lácteos; los productos lácteos
el embutido,cured meat,food,cortar el embutido; una tabla de embutidos; la calidad del embutido
el obsequio,gift/present,shopping,recibir un obsequio; comprar un obsequio; un obsequio especial
el escaparate,shop window,shopping,mirar el escaparate; decorar el escaparate; los productos del escaparate
la rebaja,discount/sale,shopping,aplicar una rebaja; aprovechar las rebajas; una rebaja sustancial
el ticket,receipt,shopping,guardar el ticket; solicitar el ticket; el ticket de compra
el probador,fitting room,shopping,entrar al probador; salir del probador; la zona de probadores
la talla,size,shopping,probarse una talla; pedir otra talla; la talla correcta
el envoltorio,packaging/wrapper,shopping,quitar el envoltorio; el envoltorio de regalo; un envoltorio ecológico
la devolución,return/refund,shopping,gestionar una devolución; solicitar la devolución; el plazo de devolución
la liquidación,clearance,shopping,la época de liquidación; la liquidación final; anunciar la liquidación
el artículo,item/article,shopping,seleccionar un artículo; el precio del artículo; devolver un artículo
la ganga,bargain,shopping,encontrar una ganga; una auténtica ganga; buscar gangas
el catálogo,catalog,shopping,consultar el catálogo; actualizar el catálogo; las novedades del catálogo
el consumidor,consumer,shopping,la protección del consumidor; el comportamiento del consumidor; el consumidor final
el tejido,fabric/textile,clothing,la calidad del tejido; un tejido resistente; elegir el tejido
la prenda,garment,clothing,probarse una prenda; una prenda de vestir; colgar la prenda
el accesorio,accessory,clothing,combinar accesorios; lucir un accesorio; los accesorios de moda
la confección,tailoring/making,clothing,la confección de la prenda; una confección artesanal; el taller de confección
la percha,hanger,clothing,colgar en la percha; la percha de madera; vaciar la percha
el dobladillo,hem,clothing,hacer el dobladillo; ajustar el dobladillo; el dobladillo del pantalón
la cremallera,zipper,clothing,subir la cremallera; bajar la cremallera; la cremallera atascada
el estampado,print/pattern,clothing,un estampado floral; el diseño del estampado; combinar con el estampado
el tinte,dye,clothing,el tinte natural; aplicar el tinte; la solidez del tinte
la etiqueta,label,clothing,leer la etiqueta; cortar la etiqueta; la etiqueta del precio
la tendencia,trend,clothing,seguir la tendencia; una nueva tendencia; la tendencia actual
el armario,closet/wardrobe,clothing,ordenar el armario; renovar el armario; el fondo de armario
la lavandería,laundry (place),errands,llevar a la lavandería; la ropa de la lavandería; el servicio de lavandería
el recado,errand,errands,hacer un recado; salir a hacer recados; un recado urgente
la cita,appointment,errands,pedir una cita; anular una cita; la cita médica; una cita previa
la fotocopia,photocopy,errands,sacar una fotocopia; la fotocopia compulsada; la fotocopia del documento
la mensajería,courier service,errands,enviar por mensajería; el servicio de mensajería; el paquete de mensajería
la espera,wait,errands,la larga espera; el tiempo de espera; la zona de espera
la documentación,documentation,errands,preparar la documentación; la documentación necesaria; la falta de documentación
el envío,shipment,errands,confirmar el envío; el coste del envío; el seguimiento del envío
el domicilio,home/address,errands,la entrega a domicilio; el cambio de domicilio; el domicilio fiscal
la ventanilla,window/teller,errands,atender en la ventanilla; la ventanilla única; la cola de la ventanilla
la incidencia,incident/issue,errands,reportar una incidencia; resolver la incidencia; una incidencia técnica
la reclamación,complaint,errands,poner una reclamación; el formulario de reclamación; la hoja de reclamaciones
la resolución,resolution,errands,la resolución del conflicto; la rápida resolución; el plazo de resolución
el requisito,requirement,errands,cumplir los requisitos; los requisitos previos; los requisitos indispensables
la autenticación,authentication,errands,el proceso de autenticación; la doble autenticación; la clave de autenticación
el comprobante,receipt/proof,errands,guardar el comprobante; presentar el comprobante; el comprobante de pago
la validez,validity,errands,la validez legal; comprobar la validez; la fecha de validez
la prórroga,extension,errands,solicitar una prórroga; conceder una prórroga; el plazo de la prórroga
el volante,flyer/document,errands,el volante de empadronamiento; el volante médico; recoger el volante
la notificación,notification,errands,recibir una notificación; la notificación oficial; la notificación electrónica
el vencimiento,expiration,errands,la fecha de vencimiento; el vencimiento del plazo; el vencimiento de la deuda
la copia,copy,errands,hacer una copia; la copia de seguridad; una copia compulsada
la burocracia,bureaucracy,errands,la lentitud de la burocracia; evitar la burocracia; el peso de la burocracia
el asesoramiento,advice/consulting,errands,recibir asesoramiento; el asesoramiento legal; el asesoramiento técnico
la asistencia,assistance,errands,la asistencia técnica; solicitar asistencia; la asistencia al cliente
el soporte,support,errands,el servicio de soporte; el soporte técnico; el soporte al usuario
la clave,key/code,errands,la clave de acceso; olvidar la clave; la clave secreta
la privacidad,privacy,errands,la política de privacidad; garantizar la privacidad; la privacidad de los datos
la renovación,renewal,errands,la renovación del contrato; la renovación del permiso; la renovación anual
la caducidad,expiration,errands,la fecha de caducidad; comprobar la caducidad; evitar la caducidad
el justificante,proof/receipt,errands,el justificante de pago; el justificante médico; entregar el justificante
la aclaración,clarification,errands,pedir una aclaración; la aclaración necesaria; la aclaración de dudas
la modificación,modification,errands,la modificación del contrato; solicitar una modificación; la modificación de datos
la rectificación,correction,errands,la rectificación de errores; solicitar la rectificación; la rectificación de datos
el turno,turn/shift,errands,esperar el turno; perder el turno; el turno de espera
la acreditación,accreditation,errands,la acreditación oficial; solicitar la acreditación; la acreditación necesaria
la demora,delay,errands,la demora en el trámite; evitar la demora; la demora de entrega
el plazo,deadline,errands,el plazo legal; el plazo de presentación; el plazo de entrega
el registro,registry/record,errands,el registro civil; el registro mercantil; la inscripción en el registro
la fecha de caducidad,expiry date,food,verificar la fecha de caducidad; ampliar la fecha de caducidad; superar la fecha de caducidad
el valor nutricional,nutritional value,food,analizar el valor nutricional; mejorar el valor nutricional; conservar el valor nutricional
la dieta equilibrada,balanced diet,food,seguir una dieta equilibrada; mantener una dieta equilibrada; diseñar una dieta equilibrada
el producto fresco,fresh product,food,seleccionar el producto fresco; comprar el producto fresco; conservar el producto fresco
el empaquetado,packaging,food,reducir el empaquetado; diseñar el empaquetado; desechar el empaquetado
el precio unitario,unit price,food,comparar el precio unitario; calcular el precio unitario; fijar el precio unitario
la lista de la compra,shopping list,food,elaborar la lista de la compra; revisar la lista de la compra; olvidar la lista de la compra
el producto de temporada,seasonal product,food,consumir el producto de temporada; buscar el producto de temporada; ofrecer el producto de temporada
la cocción al vapor,steaming,food,controlar la cocción al vapor; dominar la cocción al vapor; preferir la cocción al vapor
el utensilio de cocina,kitchen utensil,food,limpiar el utensilio de cocina; guardar el utensilio de cocina; renovar el utensilio de cocina
la intensidad del fuego,heat intensity,food,ajustar la intensidad del fuego; regular la intensidad del fuego; vigilar la intensidad del fuego
la receta tradicional,traditional recipe,food,seguir la receta tradicional; rescatar la receta tradicional; adaptar la receta tradicional
la textura,texture,food,lograr la textura; mejorar la textura; apreciar la textura
el toque final,final touch,food,dar el toque final; añadir el toque final; cuidar el toque final
el ingrediente estrella,star ingredient,food,destacar el ingrediente estrella; elegir el ingrediente estrella; potenciar el ingrediente estrella
el punto de sal,salt level,food,corregir el punto de sal; ajustar el punto de sal; controlar el punto de sal
la talla estándar,standard size,clothing,buscar la talla estándar; encontrar la talla estándar; definir la talla estándar
el estilo personal,personal style,clothing,definir el estilo personal; mantener el estilo personal; expresar el estilo personal
la fibra natural,natural fiber,clothing,preferir la fibra natural; lavar la fibra natural; teñir la fibra natural
el diseño exclusivo,exclusive design,clothing,lanzar el diseño exclusivo; valorar el diseño exclusivo; adquirir el diseño exclusivo
la oferta especial,special offer,shopping,aprovechar la oferta especial; lanzar la oferta especial; consultar la oferta especial
el gasto imprevisto,unexpected expense,shopping,cubrir el gasto imprevisto; reducir el gasto imprevisto; evitar el gasto imprevisto
la política de devoluciones,return policy,shopping,conocer la política de devoluciones; aplicar la política de devoluciones; revisar la política de devoluciones
la compra impulsiva,impulse buying,shopping,evitar la compra impulsiva; controlar la compra impulsiva; arrepentirse de la compra impulsiva
el método de pago,payment method,shopping,elegir el método de pago; validar el método de pago; cambiar el método de pago
la relación calidad-precio,value for money,shopping,evaluar la relación calidad-precio; garantizar la relación calidad-precio; destacar la relación calidad-precio
el presupuesto mensual,monthly budget,shopping,ajustarse al presupuesto mensual; elaborar el presupuesto mensual; superar el presupuesto mensual
la jerarquía,hierarchy,community,respetar la jerarquía; alterar la jerarquía; establecer una jerarquía; escalar la jerarquía
la autonomía,autonomy,work,ganar autonomía; perder autonomía; fomentar la autonomía; la autonomía personal
la perspectiva,perspective,social,cambiar de perspectiva; ampliar la perspectiva; ofrecer una perspectiva; la perspectiva global
el prejuicio,prejudice,social,superar un prejuicio; combatir un prejuicio; eliminar un prejuicio; el prejuicio social
la cohesión,cohesion,community,fortalecer la cohesión; lograr la cohesión; fomentar la cohesión; la cohesión social
la transparencia,transparency,community,garantizar la transparencia; fomentar la transparencia; exigir transparencia; la transparencia informativa
la vocación,vocation,work,descubrir la vocación; seguir la vocación; carecer de vocación; profesionalizar la vocación
la expectativa,expectation,family,crear una expectativa; cumplir una expectativa; superar una expectativa; rebajar la expectativa
la delegación,delegation,work,facilitar la delegación; mejorar la delegación; fomentar la delegación; la delegación de tareas
la trayectoria,trajectory/career path,work,seguir una trayectoria; consolidar una trayectoria; cambiar la trayectoria; la trayectoria profesional
la repercusión,repercussion,social,analizar la repercusión; medir la repercusión; evitar la repercusión; la repercusión social
la afinidad,affinity,family,sentir afinidad; descubrir afinidad; perder afinidad; la afinidad cultural
la discreción,discretion,social,mantener la discreción; exigir discreción; valorar la discreción; la discreción absoluta
el dinamismo,dynamism,community,fomentar el dinamismo; perder el dinamismo; aumentar el dinamismo; el dinamismo social
el criterio,criterion/judgment,admin,aplicar un criterio; cambiar de criterio; establecer un criterio; el criterio técnico
la redundancia,redundancy,tech,evitar la redundancia; eliminar la redundancia; detectar la redundancia; la redundancia de datos
la fiabilidad,reliability,tech,garantizar la fiabilidad; comprobar la fiabilidad; mejorar la fiabilidad; la fiabilidad del sistema
la coherencia,coherence,social,mantener la coherencia; perder la coherencia; exigir coherencia; la coherencia interna
la flexibilidad,flexibility,work,fomentar la flexibilidad; exigir flexibilidad; aumentar la flexibilidad; la flexibilidad horaria
el rigor,rigor/accuracy,education,aplicar rigor; mantener el rigor; exigir rigor; el rigor científico
la actitud,attitude,family,cambiar de actitud; mantener la actitud; mejorar la actitud; la actitud positiva
la supervisión,supervision,work,mantener la supervisión; delegar la supervisión; realizar la supervisión; la supervisión constante
la equidad,equity,social,promover la equidad; garantizar la equidad; luchar por la equidad; la equidad de género
la integridad,integrity,family,demostrar integridad; mantener la integridad; cuestionar la integridad; la integridad moral
la honestidad,honesty,family,valorar la honestidad; demostrar honestidad; exigir honestidad; la honestidad brutal
la lealtad,loyalty,family,mantener la lealtad; jurar lealtad; demostrar lealtad; la lealtad incondicional
la prudencia,prudence,social,actuar con prudencia; exigir prudencia; aconsejar prudencia; la prudencia necesaria
la paciencia,patience,family,perder la paciencia; armarse de paciencia; pedir paciencia; la paciencia infinita
la gratitud,gratitude,family,expresar gratitud; mostrar gratitud; sentir gratitud; la gratitud eterna
la humildad,humility,social,demostrar humildad; mantener la humildad; perder la humildad; la humildad absoluta
la ambición,ambition,work,fomentar la ambición; limitar la ambición; demostrar ambición; la ambición profesional
la curiosidad,curiosity,education,despertar la curiosidad; saciar la curiosidad; fomentar la curiosidad; la curiosidad intelectual
la creatividad,creativity,work,estimular la creatividad; desarrollar la creatividad; fomentar la creatividad; la creatividad innata
la determinación,determination,work,mostrar determinación; perder la determinación; fortalecer la determinación; la determinación absoluta
la disciplina,discipline,education,mantener la disciplina; imponer la disciplina; fomentar la disciplina; la disciplina férrea
la madurez,maturity,family,alcanzar la madurez; demostrar madurez; perder la madurez; la madurez emocional
la estabilidad,stability,money,mantener la estabilidad; garantizar la estabilidad; lograr la estabilidad; la estabilidad económica
la confianza,trust,family,ganar la confianza; perder la confianza; depositar la confianza; la confianza ciega
la posibilidad,possibility,admin,barajar una posibilidad; descartar una posibilidad; contemplar una posibilidad; la posibilidad remota
la ventaja,advantage,social,obtener una ventaja; perder una ventaja; buscar una ventaja; la ventaja competitiva
la desventaja,disadvantage,social,compensar la desventaja; sufrir la desventaja; minimizar la desventaja; la desventaja evidente
la dificultad,difficulty,work,superar una dificultad; encontrar una dificultad; afrontar una dificultad; la dificultad técnica
la facilidad,ease,work,tener facilidad; perder la facilidad; ganar facilidad; la facilidad pasmosa
la cantidad,quantity,money,aumentar la cantidad; reducir la cantidad; ajustar la cantidad; la cantidad excesiva
la medida,measure/size,admin,tomar una medida; aplicar una medida; evaluar una medida; la medida preventiva
la consecuencia,consequence,social,asumir la consecuencia; evitar la consecuencia; medir la consecuencia; la consecuencia directa
la intención,intention,family,manifestar la intención; cambiar la intención; ocultar la intención; la intención clara
la sugerencia,suggestion,work,hacer una sugerencia; aceptar una sugerencia; rechazar una sugerencia; la sugerencia constructiva
la propuesta,proposal,work,presentar una propuesta; aprobar una propuesta; rechazar una propuesta; la propuesta formal
la alternativa,alternative,work,buscar una alternativa; ofrecer una alternativa; descartar una alternativa; la alternativa viable
la duda,doubt,family,plantear una duda; resolver una duda; disipar una duda; la duda razonable
la explicación,explanation,education,dar una explicación; solicitar una explicación; aceptar una explicación; la explicación detallada
la justificación,justification,legal,presentar una justificación; exigir una justificación; aceptar una justificación; la justificación válida
la destreza,skill/dexterity,work,mostrar destreza; adquirir destreza; perder destreza; la destreza manual
la técnica,technique,work,mejorar la técnica; dominar la técnica; aprender una técnica; la técnica avanzada
la práctica,practice,work,poner en práctica; ganar práctica; abandonar la práctica; la práctica habitual
el aprendizaje,learning,education,fomentar el aprendizaje; acelerar el aprendizaje; facilitar el aprendizaje; el aprendizaje continuo
el impacto,impact,social,causar un impacto; medir un impacto; reducir el impacto; el impacto positivo
el malentendido,misunderstanding,family,aclarar un malentendido; evitar un malentendido; surgir un malentendido; provocar un malentendido
el propósito,purpose/goal,work,cumplir el propósito; definir el propósito; un propósito firme; con el propósito de
la cobertura,coverage,tech,ampliar la cobertura; perder la cobertura; una cobertura total; una cobertura deficiente
el desahucio,eviction,housing,evitar el desahucio; frenar el desahucio; sufrir un desahucio; notificar el desahucio
la hipoteca,mortgage,money,pedir la hipoteca; pagar la hipoteca; amortizar la hipoteca; refinanciar la hipoteca
el currículum,resume/CV,work,enviar el currículum; actualizar el currículum; destacar en el currículum; revisar el currículum
la jubilación,retirement,work,planificar la jubilación; anticipar la jubilación; disfrutar la jubilación; gestionar la jubilación
el empadronamiento,municipal registration,community,solicitar el empadronamiento; acreditar el empadronamiento; tramitar el empadronamiento
la custodia,custody,legal,pedir la custodia; otorgar la custodia; compartir la custodia; perder la custodia
la herencia,inheritance,family,recibir la herencia; aceptar la herencia; repartir la herencia; renunciar a la herencia
la subvención,grant/subsidy,admin,solicitar la subvención; obtener la subvención; gestionar la subvención; denegar la subvención
el alta,registration/discharge,health,recibir el alta; tramitar el alta; solicitar el alta; firmar el alta
la baja,leave of absence,health,coger la baja; tramitar la baja; recibir la baja; prolongar la baja
la póliza,insurance policy,money,contratar la póliza; renovar la póliza; cancelar la póliza; revisar la póliza
la cuota,fee/installment,money,pagar la cuota; abonar la cuota; retrasarse en la cuota; domiciliar la cuota
el pasivo,liability,money,asumir el pasivo; reducir el pasivo; liquidar el pasivo; controlar el pasivo
el organigrama,organizational chart,work,diseñar el organigrama; modificar el organigrama; seguir el organigrama
la sinergia,synergy,work,crear sinergias; buscar sinergias; aprovechar sinergias; fomentar sinergias
la querella,lawsuit,legal,presentar una querella; interponer una querella; retirar una querella; admitir una querella
la fianza,bail/deposit,legal,pagar la fianza; depositar la fianza; recuperar la fianza; exigir la fianza
la impugnación,challenge/objection,legal,presentar la impugnación; admitir la impugnación; rechazar la impugnación; formalizar la impugnación
la discrepancia,discrepancy,family,expresar una discrepancia; resolver una discrepancia; surgir una discrepancia; evitar una discrepancia
la confidencialidad,confidentiality,work,garantizar la confidencialidad; mantener la confidencialidad; romper la confidencialidad; exigir la confidencialidad
la urbanización,residential development,housing,planificar la urbanización; construir la urbanización; gestionar la urbanización
la asertividad,assertiveness,family,practicar la asertividad; demostrar la asertividad; mejorar la asertividad; aprender la asertividad
la procrastinación,procrastination,work,evitar la procrastinación; combatir la procrastinación; reducir la procrastinación
el vertido,spill/discharge,environment,limpiar el vertido; contener el vertido; denunciar el vertido; evitar el vertido
el socorro,relief/aid,emergency,pedir socorro; prestar socorro; acudir en socorro; enviar socorro
el peligro inminente,imminent danger,safety,advertir del peligro inminente; evitar el peligro inminente; enfrentar el peligro inminente
el dispositivo de emergencia,emergency response unit,emergency,activar el dispositivo de emergencia; coordinar el dispositivo de emergencia; desplegar el dispositivo de emergencia; preparar el dispositivo de emergencia
la alerta meteorológica,weather alert,weather,emitir la alerta meteorológica; activar la alerta meteorológica; seguir la alerta meteorológica
la salida de emergencia,emergency exit,safety,señalizar la salida de emergencia; bloquear la salida de emergencia; despejar la salida de emergencia
el estado de alarma,state of alarm,emergency,decretar el estado de alarma; prorrogar el estado de alarma; levantar el estado de alarma
la emisión de gases,gas emissions,environment,limitar la emisión de gases; reducir la emisión de gases; controlar la emisión de gases
la zona de exclusión,exclusion zone,safety,delimitar la zona de exclusión; respetar la zona de exclusión; ampliar la zona de exclusión
la previsión meteorológica,weather forecast,weather,consultar la previsión meteorológica; confirmar la previsión meteorológica; acertar la previsión meteorológica
la asistencia sanitaria,healthcare assistance,emergency,brindar asistencia sanitaria; requerir asistencia sanitaria; coordinar la asistencia sanitaria
la cuota de mercado,market share,money,aumentar la cuota de mercado; mantener la cuota de mercado; perder la cuota de mercado
la insolvencia,insolvency,legal,declarar la insolvencia; evitar la insolvencia; superar la insolvencia
el fenómeno adverso,adverse phenomenon,weather,prevenir el fenómeno adverso; soportar el fenómeno adverso; observar el fenómeno adverso
la medida de seguridad,security measure,safety,reforzar la medida de seguridad; implementar la medida de seguridad; saltarse la medida de seguridad
el operativo de rescate,rescue operation,emergency,lanzar el operativo de rescate; dirigir el operativo de rescate; finalizar el operativo de rescate
la biodiversidad,biodiversity,environment,proteger la biodiversidad; preservar la biodiversidad; amenazar la biodiversidad
la racha de viento,wind gust,weather,soportar la racha de viento; medir la racha de viento; protegerse de la racha de viento
el recurso legal,legal appeal/recourse,legal,interponer el recurso legal; admitir el recurso legal; desestimar el recurso legal
la borrasca,storm/low pressure,weather,capear la borrasca; esquivar la borrasca; prever la borrasca
el extintor,fire extinguisher,safety,usar el extintor; recargar el extintor; revisar el extintor; activar el extintor
el aviso de socorro,distress signal,emergency,enviar el aviso de socorro; recibir el aviso de socorro; ignorar el aviso de socorro
el ecosistema,ecosystem,environment,alterar el ecosistema; restaurar el ecosistema; proteger el ecosistema
la sentencia judicial,court ruling,legal,dictar la sentencia judicial; cumplir la sentencia judicial; recurrir la sentencia judicial
el frente frío,cold front,weather,atravesar el frente frío; predecir el frente frío; sufrir el frente frío
el centro de mando,command center,emergency,establecer el centro de mando; dirigir el centro de mando; evacuar el centro de mando
el marco legal,legal framework,legal,establecer el marco legal; definir el marco legal; operar bajo el marco legal
la alerta naranja,orange alert,weather,activar la alerta naranja; elevar la alerta naranja; cancelar la alerta naranja
el protocolo de actuación,action protocol,safety,seguir el protocolo de actuación; actualizar el protocolo de actuación; diseñar el protocolo de actuación
la precipitación,precipitation,weather,registrar la precipitación; evitar la precipitación; medir la precipitación
el servicio de urgencias,emergency service,emergency,llamar al servicio de urgencias; saturar el servicio de urgencias; gestionar el servicio de urgencias
la política ambiental,environmental policy,environment,aplicar la política ambiental; revisar la política ambiental; incumplir la política ambiental
el testimonio,testimony,legal,prestar el testimonio; valorar el testimonio; contradecir el testimonio; ocultar el testimonio
la humedad relativa,relative humidity,weather,medir la humedad relativa; controlar la humedad relativa; aumentar la humedad relativa
la inspección técnica,technical inspection,safety,pasar la inspección técnica; superar la inspección técnica; realizar la inspección técnica
la catástrofe natural,natural disaster,emergency,prevenir la catástrofe natural; sobrevivir a la catástrofe natural; gestionar la catástrofe natural
la ola de calor,heat wave,weather,soportar la ola de calor; evitar la ola de calor; prever la ola de calor
el plan de emergencia,emergency plan,emergency,ejecutar el plan de emergencia; probar el plan de emergencia; modificar el plan de emergencia
el desecho tóxico,toxic waste,environment,tratar el desecho tóxico; eliminar el desecho tóxico; almacenar el desecho tóxico
el contrato vinculante,binding contract,legal,firmar el contrato vinculante; romper el contrato vinculante; redactar el contrato vinculante
la presión atmosférica,atmospheric pressure,weather,medir la presión atmosférica; notar la presión atmosférica; registrar la presión atmosférica
la salida de incendios,fire exit,safety,mantener la salida de incendios; bloquear la salida de incendios; utilizar la salida de incendios
la situación de emergencia,emergency situation,emergency,declarar la situación de emergencia; controlar la situación de emergencia; gestionar la situación de emergencia
el pleito,lawsuit/dispute,legal,ganar el pleito; perder el pleito; iniciar el pleito; resolver el pleito
el pronóstico,forecast,weather,acertar el pronóstico; fallar el pronóstico; actualizar el pronóstico
la norma de seguridad,safety standard,safety,cumplir la norma de seguridad; violar la norma de seguridad; actualizar la norma de seguridad
la señal de socorro,distress signal,emergency,emitir la señal de socorro; captar la señal de socorro; responder a la señal de socorro
